78, 137, 247
5, 8, 206
3, 55, 226
123, 169, 247
24, 97, 248
42, 140, 248
6, 60, 221
39, 108, 241
12, 68, 239
6, 63, 226
24, 131, 246
3, 48, 223
20, 106, 248
3, 7, 185
1, 20, 211
56, 117, 243
9, 113, 250
41, 119, 249
3, 111, 242
10, 30, 219
3, 50, 232
2, 52, 224
1, 10, 203
12, 102, 237
24, 124, 243
7, 78, 235
6, 36, 214
4, 63, 232
41, 112, 246
21, 112, 245
3, 145, 240
31, 106, 239
28, 91, 236
27, 132, 243
20, 133, 243
19, 74, 225
7, 90, 245
4, 75, 242
52, 122, 245
54, 134, 249
31, 99, 236
11, 99, 235
28, 84, 233
6, 32, 216
4, 59, 234
27, 124, 244
37, 138, 247
4, 52, 194
12, 109, 253
21, 142, 245
76, 143, 246
24, 96, 238
61, 125, 250
15, 114, 248
2, 55, 212
2, 14, 174
40, 146, 247
7, 15, 192
2, 93, 238
37, 131, 244
12, 102, 250
14, 80, 223
1, 35, 209
36, 111, 241
11, 103, 246
56, 135, 246
3, 84, 243
8, 111, 250
5, 40, 228
47, 137, 248
7, 11, 194
44, 122, 245
1, 47, 219
142, 176, 246
12, 78, 243
6, 73, 230
3, 17, 189
8, 145, 248
47, 130, 245
7, 105, 243
5, 77, 231
2, 62, 228
6, 6, 176
4, 33, 194
11, 133, 246
3, 29, 199
26, 90, 232
14, 87, 239
112, 157, 248
11, 72, 236
15, 16, 184
14, 119, 228
5, 70, 228
40, 127, 247
2, 74, 238
13, 40, 220
112, 166, 253
7, 142, 246
17, 84, 231
26, 83, 229
136, 175, 244
43, 132, 242
1, 54, 235
12, 41, 216
136, 178, 249
113, 163, 245
6, 80, 246
9, 29, 218
10, 105, 244
3, 24, 205
2, 6, 188
12, 15, 200
62, 128, 241
11, 121, 249
22, 104, 239
10, 101, 246
1, 2, 166
3, 102, 246
104, 157, 248
34, 143, 235
5, 7, 185
13, 63, 217
4, 35, 216
30, 118, 248
115, 164, 242
5, 111, 242
2, 96, 239
22, 99, 245
75, 142, 245
12, 22, 216
6, 103, 243
12, 41, 229
47, 140, 249
7, 14, 195
2, 92, 241
63, 132, 249
2, 133, 242
27, 52, 222
119, 163, 247
7, 118, 252
13, 67, 228
23, 108, 247
4, 39, 227
5, 55, 239
3, 61, 221
122, 171, 247
63, 124, 250
34, 143, 248
17, 37, 226
11, 139, 252
33, 84, 230
3, 54, 218
8, 96, 237
10, 14, 196
5, 92, 242
38, 110, 241
6, 40, 200
7, 21, 211
4, 6, 171
81, 143, 243
6, 42, 209
4, 69, 227
3, 46, 219
20, 76, 219
3, 30, 211
10, 111, 250
21, 76, 243
25, 82, 228
38, 106, 243
15, 71, 230
45, 146, 244
25, 85, 233
6, 54, 219
10, 60, 204
123, 172, 250
16, 68, 222
13, 152, 248
34, 124, 248
37, 144, 242
9, 100, 245
21, 103, 238
41, 106, 244
3, 53, 235
8, 80, 242
37, 153, 247
82, 144, 246
3, 37, 227
7, 62, 225
4, 6, 184
4, 110, 241
5, 24, 205
65, 127, 245
1, 31, 196
32, 142, 244
2, 31, 220
14, 34, 213
4, 2, 186
29, 130, 246
16, 68, 235
3, 64, 222
